,highest_charting_position,number_of_times_charted,streams,artist_followers,popularity,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,duration_ms,valence,chord,contemporary,dance,edm,electropop,hip hop,house,indie,latin,other,pop,rap,reggaeton,rock,trap
1191,68,1,8304928.0,56327031.0,60.0,0.41,0.82,-6.808,0.533,0.252,0.538,170.718,223124.0,0.526,C#/Db,0,0,0,0,2,0,0,0,0,1,3,0,0,0
1192,70,1,8285754.0,56327031.0,58.0,0.473,0.824,-3.68,0.163,0.482,0.605,77.888,222929.0,0.374,G,0,0,0,0,2,0,0,0,0,1,3,0,0,0
1193,73,1,7821869.0,56327031.0,64.0,0.749,0.792,-4.151,0.0826,0.292,0.109,144.064,180000.0,0.239,A#/Bb,0,0,0,0,2,0,0,0,0,1,3,0,0,0
1194,84,1,7216610.0,56327031.0,64.0,0.787,0.477,-7.837,0.199,0.768,0.104,80.506,234783.0,0.476,F#/Gb,0,0,0,0,2,0,0,0,0,1,3,0,0,0
1195,89,1,6894756.0,56327031.0,57.0,0.551,0.57,-7.385,0.351,0.28,0.424,85.687,271184.0,0.505,C#/Db,0,0,0,0,2,0,0,0,0,1,3,0,0,0
1196,25,6,5594561.0,2613211.0,70.0,0.893,0.618,-4.425,0.112,0.0827,0.542,119.099,161377.0,0.389,G,0,0,0,0,2,0,0,0,0,0,4,0,0,2
1197,40,4,5236730.0,28931149.0,62.0,0.811,0.512,-6.381,0.17,0.218,0.0768,92.046,161188.0,0.346,D,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1198,29,15,5234645.0,1758300.0,69.0,0.596,0.366,-11.144,0.115,0.63,0.0554,84.394,193668.0,0.229,G,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1199,85,2,4901960.0,1700759.0,65.0,0.788,0.491,-9.884,0.109,0.386,0.107,98.543,146028.0,0.271,G#/Ab,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1200,32,5,4753495.0,7601122.0,66.0,0.836,0.624,-6.75,0.184,0.187,0.138,103.0,139890.0,0.7,E,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1201,37,13,4687605.0,18306226.0,67.0,0.708,0.797,-3.095,0.0391,0.4,0.096,88.015,210000.0,0.51,C,0,0,0,0,0,0,0,1,0,0,0,2,0,2
1202,130,11,4565400.0,56327031.0,82.0,0.754,0.449,-9.211,0.109,0.0332,0.552,77.169,198973.0,0.357,G,0,0,0,0,2,0,0,0,0,1,3,0,0,0
1203,103,4,4478685.0,10580764.0,70.0,0.716,0.588,-3.952,0.116,0.152,0.0847,165.896,183547.0,0.707,C#/Db,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1204,32,3,4420187.0,1251372.0,1.0,0.877,0.492,-8.11,0.153,0.0136,0.0678,151.042,166799.0,0.4,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,109,5,4402281.0,3828418.0,75.0,0.929,0.7,-5.595,0.0906,0.144,0.349,120.009,132024.0,0.802,C,0,0,0,0,1,0,0,0,1,0,4,0,0,2
1206,139,8,4401019.0,6096559.0,70.0,0.816,0.72,-4.454,0.0684,0.206,0.277,94.004,267242.0,0.78,C#/Db,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1207,38,18,4362442.0,1836564.0,75.0,0.453,0.538,-8.212,0.0638,0.449,0.19,122.973,204533.0,0.516,C#/Db,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1208,112,1,5750861.0,559215.0,64.0,0.8,0.628,-6.615,0.285,0.103,0.391,143.979,141387.0,0.745,D,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1209,115,1,5686981.0,17732077.0,75.0,0.785,0.554,-6.571,0.0409,0.283,0.116,128.047,150043.0,0.144,C,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1210,151,1,4914429.0,2010879.0,58.0,0.572,0.519,-8.054,0.243,0.000415,0.129,100.453,169355.0,0.704,A#/Bb,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1211,166,1,4701551.0,11821805.0,56.0,0.859,0.477,-6.116,0.428,0.00414,0.0819,145.979,251336.0,0.153,C#/Db,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1212,47,15,4440661.0,22136717.0,72.0,0.775,0.696,-5.184,0.0681,0.0559,0.157,92.007,190570.0,0.775,C#/Db,0,0,0,0,0,0,0,1,0,4,0,0,0,0
1213,183,1,4429092.0,5044278.0,59.0,0.651,0.806,-4.842,0.0311,0.00399,0.0927,125.641,239877.0,0.386,D,0,0,0,0,0,0,0,0,0,1,0,0,3,0
1214,80,18,4395061.0,29679430.0,77.0,0.67,0.668,-4.306,0.0422,0.536,0.133,88.033,179053.0,0.608,D#/Eb,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1215,97,11,4393037.0,10580764.0,74.0,0.731,0.832,-2.592,0.0503,0.273,0.0665,146.013,178613.0,0.94,A,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1216,85,17,4367368.0,9747805.0,76.0,0.657,0.768,-4.628,0.0507,0.108,0.144,75.025,186223.0,0.759,G#/Ab,0,0,1,1,0,0,1,0,0,5,0,0,0,0
1217,109,9,4299422.0,4894656.0,76.0,0.803,0.759,-4.692,0.0494,0.00509,0.0921,104.0,213308.0,0.284,G,0,0,0,0,2,0,0,0,0,0,3,0,0,0
1218,74,18,4214147.0,29067437.0,66.0,0.87,0.706,-5.395,0.126,0.0253,0.0872,100.013,145800.0,0.593,A,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1219,78,1,7065060.0,7601122.0,65.0,0.915,0.612,-4.535,0.407,0.0944,0.115,129.93,118547.0,0.758,C#/Db,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1220,102,1,6033348.0,7601122.0,62.0,0.896,0.72,-6.262,0.355,0.169,0.252,140.1,212093.0,0.966,C,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1221,156,1,4861875.0,7601122.0,56.0,0.932,0.578,-4.478,0.366,0.115,0.115,129.991,111173.0,0.623,A,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1222,16,7,4825741.0,11821805.0,67.0,0.712,0.598,-5.368,0.0388,0.0546,0.154,130.007,212354.0,0.504,G,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1223,162,1,4822090.0,1397067.0,64.0,0.68,0.766,-4.799,0.0923,0.0411,0.116,160.095,180000.0,0.28,B,0,0,0,0,1,0,0,1,0,0,0,2,0,1
1224,80,3,4674532.0,7593792.0,70.0,0.611,0.651,-6.973,0.0589,0.144,0.105,122.983,215361.0,0.351,C#/Db,0,0,1,0,0,1,0,0,0,2,0,0,0,0
1225,63,6,4618744.0,7358720.0,69.0,0.836,0.617,-4.363,0.0534,0.17,0.319,138.066,206702.0,0.866,C,0,0,0,0,3,0,0,0,0,0,3,0,0,1
