,index,highest_charting_position,number_of_times_charted,week_of_highest_charting,song_name,streams,artist,artist_followers,genre,release_date,weeks_charted,popularity,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,duration_ms,valence,chord,start_week_highest_charting,end_week_highest_charting,contemporary,dance,edm,electropop,hip hop,house,indie,latin,other,pop,rap,reggaeton,rock,trap,danceability^2,danceability energy,danceability loudness,danceability speechiness,danceability acousticness,danceability liveness,danceability tempo,danceability valence,energy^2,energy loudness,energy speechiness,energy acousticness,energy liveness,energy tempo,energy valence,loudness^2,loudness speechiness,loudness acousticness,loudness liveness,loudness tempo,loudness valence,speechiness^2,speechiness acousticness,speechiness liveness,speechiness tempo,speechiness valence,acousticness^2,acousticness liveness,acousticness tempo,acousticness valence,liveness^2,liveness tempo,liveness valence,tempo^2,tempo valence,valence^2
728,728,66,1,2020-11-27--2020-12-04,TRELLAS,10733416.0,Bad Bunny,36177712.0,"['latin', 'reggaeton', 'trap latino']",2020-11-27,2020-11-27--2020-12-04,66.0,0.43,0.412,-5.372,0.0281,0.2,0.324,90.872,157673.0,0.0508,D,2020-11-27,2020-12-04,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.18489999999999998,0.17715999999999998,-2.30996,0.012083,0.08600000000000001,0.13932,39.07496,0.021844,0.16974399999999998,-2.2132639999999997,0.0115772,0.0824,0.133488,37.439264,0.0209296,28.858383999999997,-0.1509532,-1.0744,-1.740528,-488.164384,-0.27289759999999996,0.00078961,0.00562,0.0091044,2.5535032,0.0014274799999999999,0.04000000000000001,0.06480000000000001,18.174400000000002,0.01016,0.104976,29.442528,0.0164592,8257.720384,4.6162976,0.00258064
729,729,83,2,2020-11-27--2020-12-04,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,9624871.0,Paul McCartney,3609658.0,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']",1980-05-16,"2020-11-27--2020-12-04
2020-11-20--2020-11-27",51.0,0.774,0.511,-8.914,0.0319,0.322,0.0672,94.736,227653.0,0.771,B,2020-11-27,2020-12-04,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0.599076,0.39551400000000003,-6.899436,0.0246906,0.249228,0.0520128,73.325664,0.596754,0.261121,-4.555054,0.0163009,0.164542,0.0343392,48.410096,0.393981,79.459396,-0.28435659999999996,-2.870308,-0.5990207999999999,-844.476704,-6.872694,0.00101761,0.0102718,0.00214368,3.0220784,0.0245949,0.10368400000000001,0.0216384,30.504992,0.248262,0.004515839999999999,6.3662592,0.051811199999999995,8974.909696,73.04145600000001,0.594441
730,730,16,2,2020-11-20--2020-11-27,Fly To My Room,8413330.0,BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-11-20,"2020-11-27--2020-12-04
2020-11-20--2020-11-27",76.0,0.764,0.526,-7.355,0.212,0.0484,0.0718,114.91,222243.0,0.588,B,2020-11-20,2020-11-27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.583696,0.401864,-5.61922,0.161968,0.0369776,0.0548552,87.79124,0.44923199999999996,0.27667600000000003,-3.8687300000000002,0.111512,0.0254584,0.0377668,60.442660000000004,0.309288,54.096025000000004,-1.55926,-0.355982,-0.528089,-845.16305,-4.32474,0.044944,0.010260799999999999,0.0152216,24.36092,0.12465599999999999,0.00234256,0.00347512,5.561643999999999,0.028459199999999997,0.00515524,8.250538,0.042218399999999996,13204.308099999998,67.56707999999999,0.34574399999999994
731,731,24,2,2020-11-20--2020-11-27,Telepathy,7703744.0,BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-11-20,"2020-11-27--2020-12-04
2020-11-20--2020-11-27",77.0,0.787,0.669,-4.333,0.0428,0.00782,0.123,104.994,202313.0,0.57,F,2020-11-20,2020-11-27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6193690000000001,0.526503,-3.4100710000000003,0.0336836,0.00615434,0.096801,82.630278,0.44859,0.44756100000000004,-2.8987770000000004,0.0286332,0.00523158,0.082287,70.240986,0.38133,18.774889,-0.1854524,-0.03388406,-0.532959,-454.939002,-2.46981,0.0018318399999999997,0.000334696,0.0052644,4.4937432,0.024395999999999998,6.115240000000001e-05,0.00096186,0.8210530800000001,0.0044574,0.015129,12.914261999999999,0.07010999999999999,11023.740036,59.846579999999996,0.32489999999999997
732,732,26,2,2020-11-20--2020-11-27,Dis-ease,7165808.0,BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-11-20,"2020-11-27--2020-12-04
2020-11-20--2020-11-27",75.0,0.731,0.845,-5.352,0.132,0.0132,0.0782,101.085,239722.0,0.484,G#/Ab,2020-11-20,2020-11-27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.534361,0.617695,-3.912312,0.09649200000000001,0.0096492,0.057164200000000005,73.89313499999999,0.353804,0.7140249999999999,-4.5224400000000005,0.11154,0.011153999999999999,0.066079,85.41682499999999,0.40897999999999995,28.643904000000003,-0.7064640000000001,-0.0706464,-0.4185264000000001,-541.00692,-2.5903680000000002,0.017424000000000002,0.0017424,0.0103224,13.34322,0.063888,0.00017423999999999999,0.00103224,1.334322,0.0063888,0.006115240000000001,7.904847,0.0378488,10218.177225,48.92514,0.234256
733,733,27,2,2020-11-20--2020-11-27,Stay,7010227.0,BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-11-20,"2020-11-27--2020-12-04
2020-11-20--2020-11-27",76.0,0.582,0.693,-5.048,0.0465,0.114,0.13,125.904,204800.0,0.341,F#/Gb,2020-11-20,2020-11-27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.33872399999999997,0.40332599999999996,-2.9379359999999997,0.027062999999999997,0.066348,0.07565999999999999,73.276128,0.198462,0.4802489999999999,-3.498264,0.032224499999999996,0.079002,0.09009,87.25147199999999,0.236313,25.482304,-0.234732,-0.575472,-0.65624,-635.563392,-1.7213680000000002,0.00216225,0.005301,0.006045,5.8545359999999995,0.015856500000000003,0.012996,0.014820000000000002,14.353056,0.038874000000000006,0.016900000000000002,16.36752,0.04433,15851.817216,42.933264,0.11628100000000002
734,734,151,5,2020-10-02--2020-10-09,Heart Of Glass (Live from the iHeart Festival),6006877.0,Miley Cyrus,15778531.0,"['dance pop', 'pop', 'post-teen pop']",2020-09-29,"2020-11-27--2020-12-04
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09",71.0,0.58,0.908,-5.303,0.0341,0.000335,0.087,115.016,213672.0,0.427,E,2020-10-02,2020-10-09,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.3364,0.52664,-3.0757399999999997,0.019777999999999997,0.0001943,0.05045999999999999,66.70927999999999,0.24766,0.8244640000000001,-4.815124,0.0309628,0.00030418000000000003,0.078996,104.43452800000001,0.387716,28.121809,-0.1808323,-0.001776505,-0.46136099999999997,-609.929848,-2.2643809999999998,0.0011628099999999998,1.14235e-05,0.0029666999999999996,3.9220456,0.0145607,1.1222500000000001e-07,2.9145e-05,0.03853036000000001,0.000143045,0.007568999999999999,10.006392,0.037148999999999995,13228.680256000001,49.111832,0.182329
735,735,171,1,2020-11-27--2020-12-04,CANTARES DE NAVIDAD,5842320.0,Trio Vegabajeño,36177712.0,"['latin', 'reggaeton', 'trap latino']",2020-11-27,2020-11-27--2020-12-04,56.0,0.764,0.523,-7.371,0.0406,0.777,0.352,118.671,199720.0,0.962,D,2020-11-27,2020-12-04,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.583696,0.39957200000000004,-5.631444,0.031018399999999998,0.593628,0.268928,90.66464400000001,0.734968,0.273529,-3.8550330000000006,0.0212338,0.40637100000000004,0.184096,62.064933,0.503126,54.331641000000005,-0.2992626,-5.727267,-2.594592,-874.7239410000001,-7.090902,0.0016483599999999998,0.031546199999999996,0.014291199999999999,4.8180426,0.03905719999999999,0.6037290000000001,0.27350399999999997,92.207367,0.747474,0.12390399999999999,41.772192,0.338624,14082.806241000002,114.161502,0.9254439999999999
736,736,172,1,2020-11-27--2020-12-04,Plastic Hearts,5816739.0,Miley Cyrus,15778531.0,"['dance pop', 'pop', 'post-teen pop']",2020-11-27,2020-11-27--2020-12-04,74.0,0.551,0.756,-4.948,0.0652,0.0511,0.0765,175.984,205733.0,0.618,D,2020-11-27,2020-12-04,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.30360100000000007,0.41655600000000004,-2.7263480000000007,0.0359252,0.028156100000000003,0.0421515,96.96718400000002,0.34051800000000004,0.571536,-3.7406880000000005,0.04929119999999999,0.0386316,0.057833999999999997,133.043904,0.467208,24.482704000000005,-0.3226096,-0.25284280000000003,-0.378522,-870.7688320000001,-3.0578640000000004,0.004251039999999999,0.00333172,0.0049878,11.4741568,0.0402936,0.00261121,0.00390915,8.992782400000001,0.0315798,0.00585225,13.462776,0.047277,30970.368256,108.75811200000001,0.381924
737,737,63,24,2020-05-08--2020-05-15,CÓMO SE SIENTE - Remix,5463964.0,"Jhay Cortez, Bad Bunny",2435159.0,"['latin', 'reggaeton', 'trap latino']",2020-05-09,"2020-11-27--2020-12-04
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15",81.0,0.807,0.606,-8.871,0.088,0.0946,0.119,92.988,227520.0,0.304,D#/Eb,2020-05-08,2020-05-15,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.6512490000000001,0.48904200000000003,-7.1588970000000005,0.071016,0.07634220000000001,0.09603300000000001,75.04131600000001,0.24532800000000002,0.367236,-5.375826,0.05332799999999999,0.0573276,0.072114,56.350728,0.184224,78.694641,-0.780648,-0.8391966000000001,-1.055649,-824.896548,-2.696784,0.007743999999999999,0.0083248,0.010471999999999999,8.182943999999999,0.026751999999999998,0.008949160000000001,0.0112574,8.7966648,0.0287584,0.014160999999999998,11.065572,0.036176,8646.768144,28.268352,0.092416
738,738,78,1,2020-11-20--2020-11-27,Skit,8392247.0,BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-11-20,2020-11-20--2020-11-27,60.0,0.703,0.321,-13.135,0.884,0.864,0.908,114.822,179548.0,0.544,E,2020-11-20,2020-11-27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.49420899999999995,0.225663,-9.233905,0.621452,0.6073919999999999,0.638324,80.719866,0.382432,0.10304100000000001,-4.216335,0.283764,0.277344,0.291468,36.857862000000004,0.17462400000000003,172.528225,-11.61134,-11.34864,-11.92658,-1508.18697,-7.145440000000001,0.781456,0.763776,0.802672,101.50264800000001,0.48089600000000005,0.7464959999999999,0.784512,99.206208,0.47001600000000004,0.8244640000000001,104.25837600000001,0.49395200000000006,13184.091684,62.463168,0.29593600000000003
739,739,105,1,2020-11-20--2020-11-27,Baby (with J Balvin),7276896.0,Sfera Ebbasta,4430628.0,"['italian hip hop', 'italian pop', 'trap italiana']",2020-12-18,2020-11-20--2020-11-27,69.0,0.755,0.882,-1.957,0.0532,0.125,0.103,99.984,193555.0,0.606,A#/Bb,2020-11-20,2020-11-27,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.570025,0.66591,-1.477535,0.040166,0.094375,0.077765,75.48792,0.45753,0.7779240000000001,-1.726074,0.046922399999999996,0.11025,0.090846,88.18588799999999,0.534492,3.8298490000000003,-0.1041124,-0.244625,-0.201571,-195.668688,-1.185942,0.00283024,0.00665,0.005479599999999999,5.3191488,0.032239199999999996,0.015625,0.012875,12.498,0.07575,0.010608999999999999,10.298352,0.062417999999999994,9996.800255999999,60.590303999999996,0.367236
740,740,82,11,2020-10-23--2020-10-30,Tick Tock (feat. 24kGoldn),6241923.0,"Clean Bandit, Mabel",4431309.0,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",2020-08-21,"2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18",78.0,0.779,0.705,-3.895,0.0344,0.369,0.124,101.022,178374.0,0.946,C,2020-10-23,2020-10-30,0,1,1,0,0,1,0,0,1,4,0,0,0,0,0.6068410000000001,0.549195,-3.034205,0.0267976,0.287451,0.096596,78.696138,0.736934,0.49702499999999994,-2.745975,0.024252,0.26014499999999996,0.08742,71.22051,0.6669299999999999,15.171025,-0.133988,-1.437255,-0.48298,-393.48069000000004,-3.6846699999999997,0.00118336,0.0126936,0.0042656,3.4751568,0.0325424,0.136161,0.045756,37.277118,0.349074,0.015375999999999999,12.526728,0.11730399999999999,10205.444484000001,95.566812,0.8949159999999999
741,741,139,1,2020-11-20--2020-11-27,Dime Cómo Quieres,6152821.0,"Christian Nodal, Ángela Aguilar",8123757.0,"['mariachi', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",2020-11-13,2020-11-20--2020-11-27,75.0,0.839,0.667,-3.961,0.031,0.322,0.244,124.889,171360.0,0.878,B,2020-11-20,2020-11-27,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.7039209999999999,0.559613,-3.323279,0.026008999999999997,0.270158,0.20471599999999998,104.781871,0.736642,0.44488900000000003,-2.641987,0.020677,0.21477400000000002,0.162748,83.300963,0.585626,15.689521,-0.122791,-1.275442,-0.9664839999999999,-494.68532899999997,-3.4777579999999997,0.0009609999999999999,0.009982,0.0075639999999999995,3.871559,0.027218,0.10368400000000001,0.078568,40.214258,0.282716,0.059536,30.472915999999998,0.214232,15597.262320999998,109.652542,0.770884
742,742,162,1,2020-11-20--2020-11-27,Tik Tok (feat. Marracash & Guè Pequeno),5504912.0,Sfera Ebbasta,4430628.0,"['italian hip hop', 'italian pop', 'trap italiana']",2020-12-18,2020-11-20--2020-11-27,59.0,0.723,0.673,-7.636,0.137,0.0985,0.323,120.046,230389.0,0.302,A,2020-11-20,2020-11-27,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.522729,0.48657900000000004,-5.520828,0.099051,0.0712155,0.233529,86.79325800000001,0.21834599999999998,0.4529290000000001,-5.139028000000001,0.09220100000000002,0.0662905,0.21737900000000002,80.790958,0.203246,58.308496000000005,-1.046132,-0.7521460000000001,-2.466428,-916.6712560000001,-2.306072,0.018769000000000004,0.013494500000000001,0.044251000000000006,16.446302000000003,0.041374,0.00970225,0.031815500000000003,11.824531,0.029747,0.104329,38.774858,0.097546,14411.042116000002,36.253892,0.091204
743,743,88,12,2020-10-09--2020-10-16,Jerusalema (feat. Nomcebo Zikode),5362508.0,Master KG,247480.0,['south african house'],2020-01-24,"2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11",78.0,0.88,0.483,-7.012,0.0505,0.0185,0.0607,124.009,342613.0,0.827,C#/Db,2020-10-09,2020-10-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7744,0.42504,-6.17056,0.04444,0.01628,0.053416,109.12792,0.72776,0.233289,-3.3867959999999995,0.0243915,0.008935499999999999,0.029318099999999996,59.896347,0.399441,49.16814399999999,-0.354106,-0.12972199999999998,-0.42562839999999996,-869.551108,-5.7989239999999995,0.0025502500000000004,0.00093425,0.00306535,6.2624545000000005,0.0417635,0.00034224999999999994,0.00112295,2.2941664999999998,0.015299499999999999,0.0036844899999999995,7.5273463,0.0501989,15378.232081,102.555443,0.6839289999999999
744,744,174,1,2020-11-20--2020-11-27,Abracadabra (feat. Future),5263469.0,Sfera Ebbasta,4430628.0,"['italian hip hop', 'italian pop', 'trap italiana']",2020-12-18,2020-11-20--2020-11-27,55.0,0.846,0.681,-7.091,0.174,0.0461,0.112,131.988,192965.0,0.809,F,2020-11-20,2020-11-27,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.7157159999999999,0.576126,-5.998986,0.14720399999999997,0.0390006,0.094752,111.66184799999999,0.6844140000000001,0.4637610000000001,-4.828971,0.118494,0.0313941,0.076272,89.88382800000001,0.5509290000000001,50.282281000000005,-1.2338339999999999,-0.32689510000000005,-0.794192,-935.926908,-5.736619,0.030275999999999997,0.0080214,0.019488,22.965912,0.140766,0.00212521,0.005163200000000001,6.084646800000001,0.037294900000000006,0.012544000000000001,14.782656000000001,0.09060800000000001,17420.832144,106.77829200000001,0.6544810000000001
